"id,title,category,year,content"
"1,India’s Demonetization Drive,real,2016,""In November 2016, the Government of India announced a historic economic decision ... (full text from earlier real article #1)"""
"2,Global Financial Crisis of 2008,real,2008,""The global financial crisis of 2008 was one of the worst economic downturns ... (full article #2)"""
"3,Launch of Chandrayaan?1,real,2008,""In October 2008, India achieved a milestone with the launch of Chandrayaan?1 ... (full article #3)"""
"4,9/11 Terrorist Attacks,real,2001,""On September 11, 2001, the US experienced one of the deadliest terrorist attacks ... (full article #4)"""
"5,Introduction of Aadhaar,real,2009,""In 2009, the Government of India launched Aadhaar, a biometric identity system ... (full article #5)"""
"6,Arab Spring Uprisings,real,2010,""The Arab Spring was a wave of protests across the Middle East and North Africa ... (full article #6)"""
"7,Right to Education Act,real,2009,""The Right to Education Act made free and compulsory education a legal right ... (full article #7)"""
"8,Launch of Facebook,real,2004,""Facebook, launched in 2004 by Mark Zuckerberg, grew into a major social platform ... (full article #8)"""
"9,Mumbai Terror Attacks,real,2008,""In November 2008, coordinated attacks struck Mumbai, leading to major security reforms ... (full article #9)"""
"10,Paris Climate Agreement,real,2015,""In 2015, nearly 200 countries adopted the Paris Agreement to combat climate change ... (full article #10)"""

"11,Weekly Nationwide Internet Shutdown,fake,2018,""A viral fake report claimed the Indian government would shut the internet every Sunday ... (fake article #1)"""
"12,Mobile Phones Cooking Brain Cells,fake,2017,""A fabricated scientific article claimed smartphones could heat the human brain ... (fake article #2)"""
"13,ATM Oxygen Usage Fee,fake,2017,""A bizarre hoax claimed ATMs would charge users for oxygen usage inside booths ... (fake article #3)"""
"14,NASA Predicts 15 Days of Darkness,fake,2018,""A fake post claimed NASA confirmed Earth would undergo 15 days of darkness ... (fake article #4)"""
"15,Expiring Currency Notes,fake,2017,""A fake article claimed new Indian currency notes would expire automatically after 2 years ... (fake article #5)"""
"16,Hot Water Cures Cancer,fake,2016,""A viral but false health article claimed hot water could cure cancer ... (fake article #6)"""
"17,WhatsApp ?500 Monthly Fee,fake,2019,""A chain message falsely claimed WhatsApp would start charging ?500 per month ... (fake article #7)"""
"18,Petrol Vehicle Ban by 2018,fake,2017,""A fake news report claimed India would ban all petrol vehicles by 2018 ... (fake article #8)"""
"19,Taj Mahal Demolition Rumor,fake,2016,""A fabricated story claimed the Taj Mahal would be demolished for a highway ... (fake article #9)"""
"20,Radioactive Bananas,fake,2015,""A false report claimed imported bananas contained dangerous radioactive chemicals ... (fake article #10)"""
